#Version	Since	Object	Element	Reference	Occurrence	Group
2.2.3	1.2.0	Checksum	Hash Function	02	1	
2.2.3	1.2.0	Checksum	Hash Value	01	1	
2.2.3	1.1.0	Contact	Person ID	01	1	
2.2.3	1.1.0	Contact	Role	02	+	
2.2.3	1.1.0	Coordinate System	Coordinate Representation	01	1	
2.2.3	1.1.0	Coordinate System	Coordinate System Name	02	1	
2.2.3	1.2.0	Data Extent	Per	03	0	
2.2.3	1.3.0	Data Extent	Quantity	01	1	
2.2.3	1.2.0	Data Extent	Units	02	0	
2.2.3	1.1.0	Display Data	Access Information	03	+	
2.2.3	1.1.0	Display Data	Caveats	14	0	
2.2.3	1.1.0	Display Data	Display Cadence	12	0	
2.2.3	1.3.0	Display Data	Extension	18	*	
2.2.3	1.1.0	Display Data	Input Resource ID	16	*	
2.2.3	1.1.0	Display Data	Instrument ID	08	*	
2.2.3	1.1.0	Display Data	Keyword	15	*	
2.2.3	1.1.0	Display Data	Measurement Type	09	+	
2.2.3	1.1.0	Display Data	Observed Region	13	*	
2.2.3	1.3.0	Display Data	Parameter	17	*	
2.2.3	1.1.0	Display Data	Processing Level	04	0	
2.2.3	1.1.0	Display Data	Provider Processing Level	06	0	
2.2.3	1.1.0	Display Data	Provider Resource Name	05	0	
2.2.3	1.1.0	Display Data	Provider Version	07	0	
2.2.3	1.1.0	Display Data	Resource Header	02	1	
2.2.3	1.1.0	Display Data	Resource ID	01	1	
2.2.3	1.1.0	Display Data	Spectral Range	11	*	
2.2.3	1.1.0	Display Data	Temporal Description	10	0	
2.2.3	1.3.0	Document	Access Information	03	+	
2.2.3	1.3.0	Document	Document Type	05	1	
2.2.3	1.3.0	Document	Input Resource ID	07	*	
2.2.3	1.3.0	Document	Keyword	04	*	
2.2.3	1.3.0	Document	MIME Type	06	1	
2.2.3	1.3.0	Document	Resource Header	02	1	
2.2.3	1.3.0	Document	Resource ID	01	1	
2.2.3	1.3.0	Element	Fill Value	09	0	
2.2.3	1.2.0	Element	Index	03	1	
2.2.3	1.2.0	Element	Name	01	1	
2.2.3	1.2.0	Element	Parameter Key	04	0	
2.2.3	1.2.0	Element	Qualifier	02	*	
2.2.3	1.3.0	Element	Rendering Hints	10	0	
2.2.3	1.3.0	Element	Units	05	0	
2.2.3	1.3.0	Element	Units Conversion	06	0	
2.2.3	1.3.0	Element	Valid Max	08	0	
2.2.3	1.3.0	Element	Valid Min	07	0	
2.2.3	1.1.0	Energy Range	Bin	04	*	
2.2.3	1.1.0	Energy Range	High	02	1	
2.2.3	1.1.0	Energy Range	Low	01	1	
2.2.3	1.1.0	Energy Range	Units	03	1	
2.2.3	1.1.0	Field	Field Quantity	02	1	
2.2.3	1.1.0	Field	Frequency Range	03	0	
2.2.3	1.3.1	Field	Qualifier	01	*	
2.2.3	1.1.0	Frequency Range	Bin	05	*	
2.2.3	1.1.0	Frequency Range	High	03	1	
2.2.3	1.1.0	Frequency Range	Low	02	1	
2.2.3	1.3.0	Frequency Range	Spectral Range	01	0	
2.2.3	1.1.0	Frequency Range	Units	04	1	
2.2.3	1.2.0	Granule	Expiration Date	03	0	
2.2.3	1.1.0	Granule	Parent ID	04	1	
2.2.3	1.1.0	Granule	Prior ID	05	*	
2.2.3	1.1.0	Granule	Release Date	02	1	
2.2.3	1.1.0	Granule	Resource ID	01	1	
2.2.3	1.3.1	Granule	Source	08	+	
2.2.3	1.1.0	Granule	Start Date	06	1	
2.2.3	1.1.0	Granule	Stop Date	07	1	
2.2.3	1.1.0	Information URL	Description	03	0	
2.2.3	1.3.4	Information URL	Language	04	0	
2.2.3	1.1.0	Information URL	Name	01	0	
2.2.3	1.1.0	Information URL	URL	02	1	
2.2.3	1.1.0	Instrument	Caveats	07	0	
2.2.3	1.3.0	Instrument	Extension	08	*	
2.2.3	1.1.0	Instrument	Instrument Type	03	+	
2.2.3	1.1.0	Instrument	Investigation Name	04	+	
2.2.3	1.1.0	Instrument	Observatory ID	06	1	
2.2.3	2.2.0	Instrument	Operating Span	05	0	
2.2.3	1.1.0	Instrument	Resource Header	02	1	
2.2.3	1.1.0	Instrument	Resource ID	01	1	
2.2.3	1.2.0	Location	Coordinate System Name	02	0	
2.2.3	1.2.0	Location	Elevation	05	0	
2.2.3	1.2.0	Location	Latitude	03	0	
2.2.3	1.2.0	Location	Longitude	04	0	
2.2.3	1.2.0	Location	Observatory Region	01	+	
2.2.3	1.3.5	Mixed	Mixed Quantity	01	1	
2.2.3	1.3.6	Mixed	Particle Type	02	*	
2.2.3	1.3.5	Mixed	Qualifier	03	*	
2.2.3	1.1.0	Numerical Data	Access Information	03	+	
2.2.3	1.1.0	Numerical Data	Caveats	13	0	
2.2.3	1.3.0	Numerical Data	Extension	17	*	
2.2.3	1.1.0	Numerical Data	Input Resource ID	15	*	
2.2.3	1.1.0	Numerical Data	Instrument ID	08	*	
2.2.3	1.1.0	Numerical Data	Keyword	14	*	
2.2.3	1.1.0	Numerical Data	Measurement Type	09	+	
2.2.3	1.1.0	Numerical Data	Observed Region	12	*	
2.2.3	1.1.0	Numerical Data	Parameter	16	*	
2.2.3	1.1.0	Numerical Data	Processing Level	04	0	
2.2.3	1.1.0	Numerical Data	Provider Processing Level	06	0	
2.2.3	1.1.0	Numerical Data	Provider Resource Name	05	0	
2.2.3	1.1.0	Numerical Data	Provider Version	07	0	
2.2.3	1.1.0	Numerical Data	Resource Header	02	1	
2.2.3	1.1.0	Numerical Data	Resource ID	01	1	
2.2.3	1.1.0	Numerical Data	Spectral Range	11	*	
2.2.3	1.1.0	Numerical Data	Temporal Description	10	0	
2.2.3	1.3.6	Observation Extent	Note	04	*	
2.2.3	1.3.6	Observation Extent	Observed Region	01	0	
2.2.3	1.3.6	Observation Extent	Start Location	02	1	
2.2.3	1.3.6	Observation Extent	Stop Location	03	1	
2.2.3	1.3.0	Observatory	Extension	06	*	
2.2.3	1.1.0	Observatory	Location	04	1	
2.2.3	2.2.0	Observatory	Observatory Group ID	03	*	
2.2.3	2.2.0	Observatory	Operating Span	05	0	
2.2.3	1.1.0	Observatory	Resource Header	02	1	
2.2.3	1.1.0	Observatory	Resource ID	01	1	
2.2.3	2.2.0	Operating Span	Note	03	*	
2.2.3	2.2.0	Operating Span	Start Date	01	1	
2.2.3	2.2.0	Operating Span	Stop Date	02	0	
2.2.3	2.2.3	Parameter	Assigned ID	03	0	
2.2.3	1.1.0	Parameter	Cadence	07	0	
2.2.3	1.1.0	Parameter	Caveats	06	0	
2.2.3	1.1.0	Parameter	Coordinate System	10	0	
2.2.3	1.1.0	Parameter	Description	05	0	
2.2.3	1.1.0	Parameter	Field	16	1	ParameterEntity
2.2.3	1.2.0	Parameter	Fill Value	15	0	
2.2.3	1.1.0	Parameter	Mixed	19	1	ParameterEntity
2.2.3	1.1.0	Parameter	Name	01	1	
2.2.3	1.1.0	Parameter	Parameter Key	04	0	
2.2.3	1.1.0	Parameter	Particle	17	1	ParameterEntity
2.2.3	1.1.0	Parameter	Rendering Hints	11	*	
2.2.3	1.1.0	Parameter	Set	02	*	
2.2.3	1.1.0	Parameter	Structure	12	0	
2.2.3	1.1.0	Parameter	Support	20	1	ParameterEntity
2.2.3	1.1.0	Parameter	Units	08	0	
2.2.3	1.1.0	Parameter	Units Conversion	09	0	
2.2.3	1.2.0	Parameter	Valid Max	14	0	
2.2.3	1.2.0	Parameter	Valid Min	13	0	
2.2.3	1.1.0	Parameter	Wave	18	1	ParameterEntity
2.2.3	2.2.3	Parameter Map	Parameter ID	01	1	
2.2.3	2.2.3	Parameter Map	Parameter Key	02	1	
2.2.3	1.1.0	Particle	Atomic Number	04	*	
2.2.3	1.1.0	Particle	Azimuthal Angle Range	06	0	
2.2.3	1.1.0	Particle	Energy Range	05	0	
2.2.3	1.1.0	Particle	Particle Quantity	03	1	
2.2.3	1.1.0	Particle	Particle Type	01	+	
2.2.3	1.1.0	Particle	Polar Angle Range	07	0	
2.2.3	1.3.1	Particle	Qualifier	02	*	
2.2.3	1.1.0	Person	Address	05	0	
2.2.3	1.1.0	Person	Email	06	*	
2.2.3	1.3.0	Person	Extension	10	*	
2.2.3	1.3.0	Person	Fax Number	08	0	
2.2.3	2.0.3	Person	Note	09	0	
2.2.3	1.1.0	Person	Organization Name	04	1	
2.2.3	1.1.0	Person	Person Name	03	0	
2.2.3	1.1.0	Person	Phone Number	07	*	
2.2.3	1.1.0	Person	Release Date	02	0	
2.2.3	1.1.0	Person	Resource ID	01	1	
2.2.3	1.1.0	Polar Angle Range	Bin	04	*	
2.2.3	1.1.0	Polar Angle Range	High	02	1	
2.2.3	1.1.0	Polar Angle Range	Low	01	1	
2.2.3	1.1.0	Polar Angle Range	Units	03	1	
2.2.3	1.3.4	Registry	Access URL	03	1	
2.2.3	1.3.0	Registry	Extension	04	*	
2.2.3	1.1.0	Registry	Resource Header	02	1	
2.2.3	1.1.0	Registry	Resource ID	01	1	
2.2.3	1.3.1	Rendering Hints	Axis Label	02	0	
2.2.3	1.3.1	Rendering Hints	Display Type	01	0	
2.2.3	1.3.1	Rendering Hints	Index	04	0	
2.2.3	1.3.1	Rendering Hints	Rendering Axis	03	0	
2.2.3	1.3.1	Rendering Hints	Scale Max	07	0	
2.2.3	1.3.1	Rendering Hints	Scale Min	06	0	
2.2.3	1.3.1	Rendering Hints	Scale Type	08	0	
2.2.3	1.3.1	Rendering Hints	Value Format	05	0	
2.2.3	1.3.4	Repository	Access URL	03	1	
2.2.3	1.3.0	Repository	Extension	04	*	
2.2.3	1.1.0	Repository	Resource Header	02	1	
2.2.3	1.1.0	Repository	Resource ID	01	1	
2.2.3	1.1.0	Resource Header	Acknowledgement	06	0	
2.2.3	1.1.0	Resource Header	Alternate Name	02	*	
2.2.3	1.3.3	Resource Header	Association	09	*	
2.2.3	1.1.0	Resource Header	Contact	07	+	
2.2.3	1.1.0	Resource Header	Description	05	1	
2.2.3	1.2.0	Resource Header	Expiration Date	04	0	
2.2.3	1.1.0	Resource Header	Information URL	08	*	
2.2.3	1.1.0	Resource Header	Prior ID	10	*	
2.2.3	1.1.0	Resource Header	Release Date	03	1	
2.2.3	1.1.0	Resource Header	Resource Name	01	1	
2.2.3	1.1.0	Service	Access URL	03	1	
2.2.3	1.3.0	Service	Extension	04	*	
2.2.3	1.1.0	Service	Resource Header	02	1	
2.2.3	1.1.0	Service	Resource ID	01	1	
2.2.3	2.2.3	Service	URL Pattern	05	1	
2.2.3	1.3.1	Source	Checksum	04	0	
2.2.3	1.3.1	Source	Data Extent	05	0	
2.2.3	1.3.1	Source	Mirror URL	03	*	
2.2.3	1.3.1	Source	Source Type	01	1	
2.2.3	1.3.1	Source	URL	02	1	
2.2.3	2.2.3	Spase	Accessor	14	+	ResourceEntity
2.2.3	1.1.0	Spase	Annotation	13	+	ResourceEntity
2.2.3	1.1.0	Spase	Catalog	02	+	ResourceEntity
2.2.3	1.1.0	Spase	Display Data	03	+	ResourceEntity
2.2.3	1.3.0	Spase	Document	05	+	ResourceEntity
2.2.3	1.1.0	Spase	Granule	06	+	ResourceEntity
2.2.3	1.1.0	Spase	Instrument	07	+	ResourceEntity
2.2.3	1.1.0	Spase	Numerical Data	04	+	ResourceEntity
2.2.3	1.1.0	Spase	Observatory	08	+	ResourceEntity
2.2.3	1.1.0	Spase	Person	09	+	ResourceEntity
2.2.3	1.1.0	Spase	Registry	10	+	ResourceEntity
2.2.3	1.1.0	Spase	Repository	11	+	ResourceEntity
2.2.3	1.1.0	Spase	Service	12	+	ResourceEntity
2.2.3	2.2.3	Spase	Simulation Run	15	+	ResourceEntity
2.2.3	1.1.0	Spase	Version	01	1	
2.2.3	1.2.0	Structure	Description	02	0	
2.2.3	1.2.0	Structure	Element	03	*	
2.2.3	1.2.0	Structure	Size	01	1	
2.2.3	1.3.1	Support	Qualifier	01	*	
2.2.3	1.3.0	Support	Support Quantity	02	1	
2.2.3	1.1.0	Temporal Description	Cadence	02	0	
2.2.3	1.1.0	Temporal Description	Exposure	03	0	
2.2.3	1.1.0	Temporal Description	Time Span	01	1	
2.2.3	1.2.0	Time Span	Note	04	*	
2.2.3	1.1.0	Time Span	Relative Stop Date	03	1	StopDateEntity
2.2.3	1.1.0	Time Span	Start Date	01	1	
2.2.3	1.1.0	Time Span	Stop Date	02	1	StopDateEntity
2.2.3	1.3.5	Wave	Energy Range	04	0	
2.2.3	1.3.5	Wave	Frequency Range	05	0	
2.2.3	1.3.5	Wave	Qualifier	02	*	
2.2.3	1.3.5	Wave	Wave Quantity	03	1	
2.2.3	1.3.5	Wave	Wave Type	01	1	
2.2.3	1.3.5	Wave	Wavelength Range	06	0	
2.2.3	1.3.0	Wavelength Range	Bin	05	*	
2.2.3	1.3.0	Wavelength Range	High	03	1	
2.2.3	1.3.0	Wavelength Range	Low	02	1	
2.2.3	1.3.0	Wavelength Range	Spectral Range	01	0	
2.2.3	1.3.0	Wavelength Range	Units	04	1	
2.2.3	2.2.3	Simulation Run	Resource ID	01	1	
2.2.3	2.2.3	Simulation Run	Resource Header	02	1	
2.2.3	2.2.3	Simulation Run	Access Information	03	1	
2.2.3	2.2.3	Simulation Run	Provider Resource Name	04	1	
2.2.3	2.2.3	Simulation Run	Provider Processing Level	05	1	
2.2.3	2.2.3	Simulation Run	Provider Version	06	1	
2.2.3	2.2.3	Simulation Run	Model ID	07	1	
2.2.3	2.2.3	Simulation Run	Simulation Type	08	1	
2.2.3	2.2.3	Simulation Run	Temporal Dependence	09	1	
2.2.3	2.2.3	Simulation Run	Code Language	10	1	
2.2.3	2.2.3	Simulation Run	Observed Region	11	1	
2.2.3	2.2.3	Simulation Run	Likelihood Rating	12	1	
2.2.3	2.2.3	Simulation Run	Caveats	13	1	
2.2.3	2.2.3	Simulation Run	Simulation Domain	14	1	
2.2.3	2.2.3	Simulation Run	Simulation Time	15	1	
2.2.3	2.2.3	Simulation Run	Diagnosis Time Step	16	1	
2.2.3	2.2.3	Simulation Run	Input Population	17	*	
2.2.3	2.2.3	Simulation Run	Input Parameter	18	*	
2.2.3	2.2.3	Simulation Run	Input Process	19	*	
2.2.3	2.2.3	Simulation Run	Region Parameters	20	*	
2.2.3	2.2.3	Simulation Run	Spatial Description	21	0	
2.2.3	2.2.3	Simulation Domain	Coordinate System	01	1	
2.2.3	2.2.3	Simulation Domain	Description	02	1	
2.2.3	2.2.3	Simulation Domain	Caveats	03	1	
2.2.3	2.2.3	Simulation Domain	Spatial Dimension	04	1	
2.2.3	2.2.3	Simulation Domain	Velocity Dimension	05	1	
2.2.3	2.2.3	Simulation Domain	Field Dimension	06	1	
2.2.3	2.2.3	Simulation Domain	Units	07	1	
2.2.3	2.2.3	Simulation Domain	Units Conversion	08	1	
2.2.3	2.2.3	Simulation Domain	Dimension Name	09	1	
2.2.3	2.2.3	Simulation Domain	Box Size	10	1	
2.2.3	2.2.3	Simulation Domain	Valid Min	11	1	
2.2.3	2.2.3	Simulation Domain	Valid Max	12	1	
2.2.3	2.2.3	Simulation Domain	Grid Structure	13	1	
2.2.3	2.2.3	Simulation Domain	Grid Cell Size	14	1	
2.2.3	2.2.3	Simulation Domain	Symmetry	15	1	
2.2.3	2.2.3	Simulation Domain	Boundary Conditions	16	1	
2.2.3	2.2.3	Boundary Conditions	Particle Boundary	01	0	
2.2.3	2.2.3	Boundary Conditions	Field Boundary	02	0	
2.2.3	2.2.3	Particle Boundary	Caveats	01	*	
2.2.3	2.2.3	Particle Boundary	Front Wall	02	0	
2.2.3	2.2.3	Particle Boundary	Back Wall	03	0	
2.2.3	2.2.3	Particle Boundary	Side Wall	04	0	
2.2.3	2.2.3	Particle Boundary	Obstacle	05	0	
2.2.3	2.2.3	Field Boundary	Caveats	01	*	
2.2.3	2.2.3	Field Boundary	Front Wall	02	0	
2.2.3	2.2.3	Field Boundary	Back Wall	03	0	
2.2.3	2.2.3	Field Boundary	Side Wall	04	0	
2.2.3	2.2.3	Field Boundary	Obstacle	05	0	
2.2.3	2.2.3	Simulation Time	Description	01	1	
2.2.3	2.2.3	Simulation Time	Caveats	02	1	
2.2.3	2.2.3	Simulation Time	Duration	03	1	
2.2.3	2.2.3	Simulation Time	Time Start	04	1	
2.2.3	2.2.3	Simulation Time	Time Stop	05	1	
2.2.3	2.2.3	Simulation Time	Time Step	06	1	
2.2.3	2.2.3	Simulation Time	Diagnosis Time Step	07	1	
2.2.3	2.2.3	Diagnosis Time Step	Time Step	01	1	
2.2.3	2.2.3	Diagnosis Time Step	Duration	02	1	
2.2.3	2.2.3	Diagnosis Time Step	Saved Quantity	03	1	
2.2.3	2.2.3	Input Parameter	Name	01	1	
2.2.3	2.2.3	Input Parameter	Set	02	1	
2.2.3	2.2.3	Input Parameter	Parameter Key	03	1	
2.2.3	2.2.3	Input Parameter	Description	04	1	
2.2.3	2.2.3	Input Parameter	Caveats	05	1	
2.2.3	2.2.3	Input Parameter	Observed Region	06	1	
2.2.3	2.2.3	Input Parameter	Parameter Quantity	07	1	
2.2.3	2.2.3	Input Parameter	Property	08	1	
2.2.3	2.2.3	Property	Name	01	1	
2.2.3	2.2.3	Property	Description	02	1	
2.2.3	2.2.3	Property	Caveats	03	1	
2.2.3	2.2.3	Property	Property Quantity	04	1	
2.2.3	2.2.3	Property	Units	05	1	
2.2.3	2.2.3	Property	Units Conversion	06	1	
2.2.3	2.2.3	Property	Property Label	07	1	
2.2.3	2.2.3	Property	Property Value	08	1	
2.2.3	2.2.3	Property	Property Table URL	09	1	
2.2.3	2.2.3	Property	Valid Min	10	1	
2.2.3	2.2.3	Property	Valid Max	11	1	
2.2.3	2.2.3	Property	Property Model	12	1	
2.2.3	2.2.3	Property	Model URL	13	1	
2.2.3	2.2.3	Input Field	Name	01	1	
2.2.3	2.2.3	Input Field	Set	02	1	
2.2.3	2.2.3	Input Field	Parameter Key	03	1	
2.2.3	2.2.3	Input Field	Description	04	1	
2.2.3	2.2.3	Input Field	Caveats	05	1	
2.2.3	2.2.3	Input Field	Observed Region	06	1	
2.2.3	2.2.3	Input Field	Coordinate System	07	1	
2.2.3	2.2.3	Input Field	Field Quantity	08	1	
2.2.3	2.2.3	Input Field	Units	09	1	
2.2.3	2.2.3	Input Field	Units Conversion	10	1	
2.2.3	2.2.3	Input Field	Input Label	11	1	
2.2.3	2.2.3	Input Field	Input Value	12	1	
2.2.3	2.2.3	Input Field	Input Table URL	13	1	
2.2.3	2.2.3	Input Field	Valid Min	14	1	
2.2.3	2.2.3	Input Field	Valid Max	15	1	
2.2.3	2.2.3	Input Field	Field Model	16	1	
2.2.3	2.2.3	Input Field	Model URL	17	1	
2.2.3	2.2.3	Input Process	Name	01	1	
2.2.3	2.2.3	Input Process	Set	02	1	
2.2.3	2.2.3	Input Process	Parameter Key	03	1	
2.2.3	2.2.3	Input Process	Description	04	1	
2.2.3	2.2.3	Input Process	Caveats	05	1	
2.2.3	2.2.3	Input Process	Observed Region	06	1	
2.2.3	2.2.3	Input Process	Process Type	07	1	
2.2.3	2.2.3	Input Process	Units	08	1	
2.2.3	2.2.3	Input Process	Units Conversion	09	1	
2.2.3	2.2.3	Input Process	Process Coefficient	10	1	
2.2.3	2.2.3	Input Process	Process Coeff Type	11	1	
2.2.3	2.2.3	Input Process	Process Model	12	1	
2.2.3	2.2.3	Input Process	Model URL	13	1	
2.2.3	2.2.3	Input Population	Name	01	1	
2.2.3	2.2.3	Input Population	Set	02	1	
2.2.3	2.2.3	Input Population	Parameter Key	03	1	
2.2.3	2.2.3	Input Population	Description	04	1	
2.2.3	2.2.3	Input Population	Caveats	05	1	
2.2.3	2.2.3	Input Population	Observed Region	06	1	
2.2.3	2.2.3	Input Population	Mass	07	1	
2.2.3	2.2.3	Input Population	Charge	08	1	
2.2.3	2.2.3	Input Population	Density	09	1	
2.2.3	2.2.3	Input Population	Temperature	10	1	
2.2.3	2.2.3	Input Population	Flow Speed	11	1	
2.2.3	2.2.3	Input Population	Distribution	12	1	
2.2.3	2.2.3	Input Population	Production Rate	13	1	
2.2.3	2.2.3	Input Population	Total Production Rate	14	1	
2.2.3	2.2.3	Input Population	Input Table URL	15	1	
2.2.3	2.2.3	Input Population	Profile	16	1	
2.2.3	2.2.3	Input Population	Model URL	17	1	
2.2.3	2.2.3	Region Parameters	Observed Region	01	1	
2.2.3	2.2.3	Region Parameters	Description	02	1	
2.2.3	2.2.3	Region Parameters	Caveats	03	1	
2.2.3	2.2.3	Region Parameters	Radius	04	1	
2.2.3	2.2.3	Region Parameters	Sublongitude	05	1	
2.2.3	2.2.3	Region Parameters	Period	06	1	
2.2.3	2.2.3	Region Parameters	Mass	07	1	
2.2.3	2.2.3	Region Parameters	Input Table URL	08	1	
2.2.3	2.2.3	Region Parameters	Property	09	1	
2.2.3	2.2.3	Spatial Description	Dimension	01	1	
2.2.3	2.2.3	Spatial Description	Coordinate System	02	1	
2.2.3	2.2.3	Spatial Description	Units	03	1	
2.2.3	2.2.3	Spatial Description	Units Conversion	04	1	
2.2.3	2.2.3	Spatial Description	Dimension Name	05	1	
2.2.3	2.2.3	Spatial Description	Start	06	1	
2.2.3	2.2.3	Spatial Description	Stop	07	1	
2.2.3	2.2.3	Spatial Description	Step	08	1	
2.2.3	2.2.3	Spatial Description	Plane Normal Vector	09	1	
